{'domain': 'loki-zzbm.yun.qianxin-inc.cn', 'domainType': 'Intranet', 'isUse': 0, 'note': '张振辉-域名失效无解析'}
{'domain': 'service-fsswj.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'app-positionreport-fsswj.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'app-survey-fsswj.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 's3sts-csrda.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'app-survey-lnjw.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'fsswj.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'admin-fsswj.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'app-positionreport-csrda.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'pmc-fsswj.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'sapapp.erp.lgy.360es.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '范立飞-域名失效无解析'}
{'domain': '*.fusion', 'domainType': 'Internet', 'isUse': 0, 'note': '黄杰昌-域名失效无解析'}
{'domain': 'ntp2.ops.qianxin-inc.cn', 'domainType': 'Intranet', 'isUse': 0, 'note': '未知-域名失效无解析'}
{'domain': 'hdfs.ops.hkcl.qianxin-inc.cn', 'domainType': 'Intranet', 'isUse': 0, 'note': '未知-域名失效无解析'}
{'domain': 'sapapp03.erp.lgy.qianxin-inc.cn', 'domainType': 'Intranet', 'isUse': 0, 'note': '范立飞-域名失效无解析'}
{'domain': 'im-beta22.lx.qianxin-inc.cn', 'domainType': 'Intranet', 'isUse': 0, 'note': '未知-域名失效无解析'}
{'domain': 'vnc-zzbm.ops.qianxin-inc.cn', 'domainType': 'Intranet', 'isUse': 0, 'note': '张振辉-域名失效无解析'}
{'domain': 'api-zzbm-qiyun.qianxin-inc.cn', 'domainType': 'Intranet', 'isUse': 0, 'note': '张振辉-域名失效无解析'}
{'domain': 'spk8s.ops.qianxin-inc.cn', 'domainType': 'Intranet', 'isUse': 0, 'note': '未知-域名失效无解析'}
{'domain': 'vnc_shjt2.ops.qianxin-inc.cn', 'domainType': 'Intranet', 'isUse': 0, 'note': '张振辉-域名失效无解析'}
{'domain': 'cloud.qianxin-inc.cn', 'domainType': 'Intranet', 'isUse': 0, 'note': '未知-域名失效无解析'}
{'domain': 'build.bigdataqianxin-inc.cn', 'domainType': 'Intranet', 'isUse': 0, 'note': '未知-域名失效无解析'}
{'domain': 'ns02.qianxin-inc.cn', 'domainType': 'Intranet', 'isUse': 0, 'note': '未知-域名失效无解析'}
{'domain': 'www.dnslog.qianxin-inc.cn', 'domainType': 'Intranet', 'isUse': 0, 'note': '孙亮01-域名失效无解析'}
{'domain': 'loki.skyeye.qianxin-inc.cn', 'domainType': 'Intranet', 'isUse': 0, 'note': '顾琦-域名失效无解析'}
{'domain': 'licenseas.qianxin-inc.cn', 'domainType': 'Intranet', 'isUse': 0, 'note': '何新良-域名失效无解析'}
{'domain': 'dlpchange.qianxin-inc.cn', 'domainType': 'Intranet', 'isUse': 0, 'note': '梁正凤-域名失效无解析'}
{'domain': 'mysql11958r.yun.qianxin-inc.cn', 'domainType': 'Intranet', 'isUse': 0, 'note': '张振辉-域名失效无解析'}
{'domain': 'cpq-dev.qianxin-inc.cn', 'domainType': 'Intranet', 'isUse': 0, 'note': '杨康-域名失效无解析'}
{'domain': 'xcproxy.mss.qianxin-inc.cn.qianxin-inc.cn', 'domainType': 'Intranet', 'isUse': 0, 'note': '贾璐璐-域名失效无解析'}
{'domain': 'mss.sg.qianxin-inc.cn.qianxin-inc.cn', 'domainType': 'Intranet', 'isUse': 0, 'note': '贾璐璐-域名失效无解析'}
{'domain': 'p.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': '@gudongqun.com', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'www.gudongqun.com', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'vs02.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'ndj2h.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'notice.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'docdev.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'appdev.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'shcp-vs01.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'gdp.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'apps.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'mobile.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'file.api.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'login.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': '@comisys.net', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'xcqzfgcytest.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'bsdx.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'whwxb.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 's3api-samr.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 's3sts-bjwa.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'open-bjwa.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'imana-hnszffzyjzx.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'lantu-stage.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'open-dev-hnszffzyjzx.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 's3api-bjwa.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 's3admin-gxglwxb.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'user-bjwa.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'work-bjwa.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'open-dev-gxglwxb.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'edge-bjwa.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'admin-gxglwxb.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'app-blueprint-gxglwxb.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'article-gxglwxb.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'passport-gxglwxb.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'edge-hnszffzyjzx.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'admin-hnszffzyjzx.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'applive-qax.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'www-csrda.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'app-netmeeting-csrda.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'imana-fsswj.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'imana-csrda.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'apigw-csrda.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 's3admin-csrda.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 's3sts-fsswj.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'app-survey-csrda.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'article-fsswj.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'passport-fsswj.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'app-conference-fsswj.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'dgzx.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'brtest.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'nmgat.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'open-fsswj.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'br.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'jsga1-open.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'jsga1-apps.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'ndj.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'ndj2h-portal.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'ndj2h-apps.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'jsga-apps.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'jsga-auth.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'ndj-dl.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'ndj2h-vpn.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'jsga1-dms.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'ndj2h-dl.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'ndj-open.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'ndj-dms.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'ndj-vpn.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'chdtest-dms.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'jsga.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'chdtest-open.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'deploy.t.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'cust04.t.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'cust11.t.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'lanxin-ndj2h.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'edge-csrda.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'passport-csrda.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'edge-fsswj.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 's3admin-fsswj.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 's3api-csrda.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'app-leave-csrda.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'apigw-gxglwxb.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'app-sign-csrda.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'admin-csrda.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'pmc-csrda.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'tytlj.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 's3api-fsswj.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'user-fsswj.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'work-fsswj.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'www-fsswj.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 's3dev-fsswj.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'article-lnjw.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
