{'domain': 'clients.bir-region.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'jgoltsmtp.008wytwww.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'kzmmegroups.tianji-ccs.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'o69iay0p.dockerlxpre.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'ttkhwmedia.tianji.lx-crm.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'obsblpics.support.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'vmpztint.remote.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'media.tianjinox.oid.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'go.stage1-prod.na.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'b.dayu-qa.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'o69iay0p.trial-auth.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'tshuzlocalhost.a0.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'hlvgolocalhost.files.data.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'pmrkswww-staging.arjun.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'tbjixmy.tianji.itlx.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'khqepssl.588bocaiwangzhan.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'nkg.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'bhmxbprelive.epsdemo.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'hyloxevents.tianji.helplx.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'w6d3bu.at.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'vxopgmail.hideip-pc1107.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': '4b190ff6b8f5d92e.media.baize-lx.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'img01.docs.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'ut.apps.0.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'o69iay0p.perinfo.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'majmlint.tianjilegacy.lx.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'nze.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'zqrkxmysql.git.app.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': '8954a3cf3845c6c5.tianji.confluence.lx.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'autodiscover.v1lx.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'fgibgpic.bedu-kepu.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'xgiruxwhn31wf.hkmon02.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'o69iay0p.b.chef.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'zdsaxsmtp.tianji.lx.dev.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'f9f5ab4c76adfba5.admin.help-lx.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'jtnyaserver.lxpass.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'poppaapi.v-tianji.lx.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'opduflocalhost.bcloudlab.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'gojwwprtsjftp.stage.ccs.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'luf.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'hpjcaunbounce.2momstalk.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'help.inner-apigw.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': '229d38ed206df496.eps.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'kb.servervpn.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'cogkzgitlab.api.pl.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'wnqprssl.legacy.tianji.lx.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'fsamzwiki.tianji.php.lx.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'qluuddupejlocal.page101aa.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': '8167256bd89cb356.webdisk.articles.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'vd7s1lyv.yunsuo-golf.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'jwmcvkb.tianji.lxsigned.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'aylmcsmtp.akai.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'kwtpfbeta.lab-ssh.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'localhost-lb.as81.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'b905b5cc0ea957ec.qaxanyu.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'gyqqnint.tianji.demo.lx.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': '31e07c0a261fc597.my.extmail.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'bnc.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'slzjqblog.132-www.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'qfxbewebdisk.a1-staging.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'kcarjvideos.partneryunsuo.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'eyojhevents.webapi.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'ulxhuapp.autodiscover.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'o69iay0p.auth.blog.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'nhgminew.tianji.dockerlx.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'efqocm.lx-payment-legacy.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'tianjipage.lx.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'iqg.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'unyprserver.1dia4.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'nvqrikb.tianji-cvs.lx.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'o69iay0p.testing1pre1.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'api.alumnivpn.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'pleadhelp.gadgets4blog.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'qcntzvpn.mail-tianji.lx.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'ztmwporder.tianji.lx-ai.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'yyajmwiki.lx.cloudphone.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'www.vpn.tianji.lx-proxy.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'zodsgmysql.ccsvsupdate.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'wgbowu.oss-zz-zzt-hhy.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'numivdocs.tianji-ssl.lx.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'vxtxuwiki.mail-tianji.lx.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'uhgqnmysql.tianji-data.lx.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'cd3fa986cf5791d7.qaxanyu.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'eureka.wexlwpf0.rc.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'cphfrvpn.acidmartin.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'seiudforums.int-eps.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'yhaasblogs.access.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'ebd91229165e1b5f.corporate.ess.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'local.eg.tianji.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'order.tianji-ci.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'ab88bd16b56d6a71.devops.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'dusaamobile.exam-net.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': '8eae565faabbfe40.svn.adminhelp.tianji.lx.prod.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'ffc.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'o69iay0p.mss-intra.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'raymbmy.tianji.ssc-lx.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'bp.rg.fw.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'lgh.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'ysvnrpre.tianji.lax.lx.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'o69iay0p.pop.region.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'xmwemlocalhost.meg-ti.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'kcvzqsmtp.tianji.lx-stage.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'zyyjjezyv03.send.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'img.lx-proxypartner.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'o69iay0p.ayuda.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'xxksxint.edub.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'o69iay0p.elastic-ci.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'ce952987ccf08887.qaxanyu.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'nebgtstats.localhost.179.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'xaxlbvideos.ext.tianji.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': '9a0c88f911dd43f6.webdisk.hg.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'zpgboint.outreach.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'fyfyxlocalhost.476.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'snbiwimg.tianji.lx-jiance.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': '61371c248cc3bfc9.edustaging-ada.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'code.downloadsre.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'qzwihmembers.webscan.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'o69iay0p.videos.admin.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'xihheapps.demo.crm.res.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'vipubadmin.beta.lx-search.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'bxkaelocalhost.bp.ngfwup.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'wtmffapp.tianji.lx.oid.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'ydrkryhufhvpn.wx.ai.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'wbzhusvn.xuanji.tianji.lx.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'uqcvgmdm.tianjiateam.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'o69iay0p.hkmon02-h5.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'www-test.ai-app.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'emqlphelp.api.chef.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': '6.au.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'argurabucky-alfonsodysiamarguragroupwiseb4b.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'ctphglocalhost.apkhit.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'clwqlblogs.yunsuo.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'o69iay0p.api.1460www.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'zwerlblond.devops.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'www.f.tianji.vpn.lx.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'o69iay0p.console.team.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'mjibugo.signed.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'emiospre.backendtianji.lx.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'jujzmfiles.qcueccalpha.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'o69iay0p.search.jiance.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'mivtolocalhost.bg202530.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'xhhoylive.tianji.lxoid.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'msomqnews.lx-paymentscan.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': '442b491a2b3414ef.qaxcloudwaf.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'jfxrlkb.img.dl.wap.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'o69iay0p.payapp.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'e315bfb0c0670794.unbounce.swagger.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'nzkocuser.emailtianji.lx.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'o69iay0p.live.priv.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'bv.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'wmzvmweb.tianji.alpha-lx.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'hgcutimages.user.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': '39b00608ef9b53e4.pwbsfnissancorp.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'o69iay0p.privategh.lx.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'api.passport-demo.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': '3f10b936393baca5.imap.tianji.lx-trial.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'damijorder.train.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'hankusupport.stg.control.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'awmdrsmtp.res.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'o69iay0p.b.0.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'web.nu.test1.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'ygxcladmin.f.tianji.lb.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'lpejtb.passport.admin.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'uihnqcode.apps.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'uvxxgf.tianji.testing1.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': '123456789abcdefghijklmnopq.bp.rg.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'appstore.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'hgvejapi.grafana-1460www.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'o69iay0p.admin.help-lx.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'gdf.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'zoikycode.authlx.fw.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'nunvbstatus.cdnwe.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'vvbnkmysql.shs4.b.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'hgpjoapps.tianji.lxengine.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'qeonltesting.test.english.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'dpeoqmail.pics.blog.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'qamvqlocalhost.datdvvqh.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'tianji-testing.lx.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'ulptyinfo.epss3.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'cmaven.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'rhcumstats.it.fv-skydas.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
{'domain': 'uxpjnbp.t350.college.qianxin.com', 'domainType': 'Internet', 'isUse': 0, 'note': '域名3天未更新'}
